Course_Name,rating,topics covered,Designed for,Certification Type,Duration
IBM Data Analytics with Excel and R,4.7,"[' Data Analysis, R Programming, Computer Programming, Data Visualization, Data Management, Statistical Programming, Databases, Plot (Graphics), Data Structures, Exploratory Data Analysis, Statistical Analysis, Data Analysis Software, Statistical Visualization, SQL, Basic Descriptive Statistics, Microsoft Excel, Extract, Transform, Load, General Statistics, Interactive Data Visualization, Visualization (Computer Graphics), Database Application, Spreadsheet Software, Database Design, Database Theory, Programming Principles, Database Administration, Computer Programming Tools, Correlation And Dependence, Data Mining, Data Visualization Software, Visual Design, Business Analysis, Python Programming, Big Data, Data Science, NoSQL']",Beginner , Professional Certificate , 3 - 6 Months
Data Analysis and Visualization Foundations,4.7,"[' Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Plot (Graphics), Data Management, Data Structures, Databases, Python Programming, SQL, Statistical Visualization, Big Data, Business Analysis, Data Mining, Data Science, NoSQL, R Programming, Data Visualization Software, Interactive Data Visualization']",Beginner , Specialization , 3 - 6 Months
Key Technologies for Business,4.7,"[' Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Cloud Computing, Adaptability, Big Data, Data Analysis, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, DevOps, Data Mining, IBM Cloud, Data Science, Regression, Writing']",Beginner , Specialization , 3 - 6 Months
Google Advanced Data Analytics,4.7,"[' Communication, Computer Programming, Data Analysis, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning, Planning, Probability Distribution, Project Management, Python Programming, Regression, Statistical Analysis, Tableau Software']",Advanced , Professional Certificate , 3 - 6 Months
Microsoft Power BI Data Analyst,4.6,"[' Data Analysis, Data Management, Data Mining, Data Model, Data Visualization, Extract, Transform, Load, Microsoft Excel, Power BI, SQL']",Beginner , Professional Certificate , 3 - 6 Months
IBM Back-End Development,4.6,"[' Software Engineering, Application Development, Python Programming, Computer Programming, Security Engineering, Software Engineering Tools, Programming Principles, Software Architecture, Agile Software Development, Communication, DevOps, Software Security, Kubernetes, Software Testing, Cloud Applications, Docker (Software), IBM Cloud, Product Management, User Experience Design, Linux, Cloud Computing, Collaboration, Leadership and Management, Web Development, Data Analysis, Django (Web Framework), Mergers & Acquisitions, SQL']",Beginner , Professional Certificate , 3 - 6 Months
Data Engineering Foundations,4.6,"[' Python Programming, Data Management, Data Engineering, Extract, Transform, Load, Computer Programming, Data Mining, Data Structures, Databases, Data Warehousing, Network Security, Big Data, Data Analysis, Leadership and Management, SQL, Cloud Computing, Data Science, NoSQL, PostgreSQL']",Beginner , Specialization , 3 - 6 Months
Applied Software Engineering Fundamentals,4.6,"[' Software Engineering, Computer Programming, Python Programming, Software Engineering Tools, Application Development, Programming Principles, Software Architecture, Agile Software Development, Communication, Product Management, Software Testing, User Experience Design, Collaboration, Leadership and Management, Linux, Data Analysis, Mergers & Acquisitions']",Beginner , Specialization , 3 - 6 Months
IBM & Darden Digital Strategy,4.7,"[' Business Analysis, Business Transformation, Strategy, Data Analysis, Cloud Computing, Strategy and Operations, Applied Machine Learning, Big Data, Data Visualization, Deep Learning, Entrepreneurship, Leadership and Management, Research and Design, Algorithms, Artificial Neural Networks, Computer Vision, Human Learning, Innovation, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Marketing, Sales, Adaptability, Data Structures, Market Analysis, Business Design, Business Development, Customer Analysis, Product Strategy, Data Management, Data Mining, Databases, Python Programming, SQL, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, Data Science, DevOps, IBM Cloud, NoSQL, R Programming, Microsoft Excel']",Beginner , Specialization , 3 - 6 Months
Foundations of Project Management,4.9,"[' Project Management, Strategy and Operations, Business Communication, Change Management, Organizational Development, Communication, Culture, Emotional Intelligence, Influencing, Leadership and Management, People Management, Planning']",Beginner , Course , 1 - 4 Weeks
Generative AI with Large Language Models,4.8,"[' Machine Learning, Natural Language Processing, Python Programming']",Intermediate , Course , 1 - 4 Weeks
IBM AI Foundations for Business,4.7,"[' Machine Learning, Data Analysis, Deep Learning, Applied Machine Learning, Data Management, Leadership and Management, Machine Learning Algorithms, Algorithms, Artificial Neural Networks, Computer Vision, Human Learning, Machine Learning Software, Business Process Management, Data Architecture, Strategy and Operations, Adaptability, Business Transformation, Cloud Computing, Strategy, Big Data, Innovation, Data Mining, Data Science, Regression, Writing']",Beginner , Specialization , 1 - 3 Months
Google IT Automation with Python,4.7,"[' Cloud Computing, Cloud Platforms, Collaboration, Computer Programming, Data Structures, Google Cloud Platform, Leadership and Management, Problem Solving, Python Programming']",Beginner , Professional Certificate , 3 - 6 Months
"Foundations: Data, Data, Everywhere",4.8,"[' Data Analysis, Data Visualization, SQL, Business Analysis, Spreadsheet Software, Data Science, Databases, Microsoft Excel']",Beginner , Course , 1 - 4 Weeks
Meta Front-End Developer,4.7,"[' HTML and CSS, Javascript, Front-End Web Development, React (web framework), Web Development, User Experience, Algorithms, Computer Science, Web Design, Application Development, Computer Programming, Software Engineering, Web Development Tools, Collaboration, Communication, Data Structures, Human Computer Interaction, Interactive Design, Linux, Problem Solving, Product Design, Software Engineering Tools, Software Testing']",Beginner , Professional Certificate , 3 - 6 Months
AI For Everyone,4.8,"[' Data Science, Deep Learning, Machine Learning, Artificial Neural Networks, Business Transformation, Human Learning, Planning, Project Management']",Beginner , Course , 1 - 4 Weeks
Supervised Machine Learning: Regression and Classification,4.9,"[' Machine Learning, Machine Learning Algorithms, Regression, Applied Machine Learning, Algorithms, Statistical Machine Learning, Mathematics, Critical Thinking, Machine Learning Software, Python Programming']",Beginner , Course , 1 - 4 Weeks
Business Foundations,4.7,"[' Accounting, Finance, General Accounting, Decision Making, Financial Accounting, Strategy and Operations, Account Management, Accounts Payable and Receivable, Cost Accounting, Leadership and Management, Strategy, Cash Management, Communication, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Marketing, Brand Management, Budget Management, Customer Analysis, Market Analysis, Marketing Design, Product Marketing, Product Strategy, Entrepreneurship, Human Resources, People Analysis, Performance Management, Business Analysis, Data Analysis, Marketing Management, Mathematical Theory & Analysis, Change Management, Organizational Development, People Management, Planning, Operations Management']",Beginner , Specialization , 3 - 6 Months
Foundations of Cybersecurity,4.9,"[' Linux, Computer Programming, Leadership and Management, Risk Management, SQL']",Beginner , Course , 1 - 4 Weeks
IBM Business Intelligence (BI) Analyst,4.7,"[' Data Visualization, Data Analysis, Data Management, Databases, Microsoft Excel, SQL, Data Structures, Python Programming, Basic Descriptive Statistics, Database Administration, Database Application, Database Design, Database Theory, Spreadsheet Software, Plot (Graphics), Data Analysis Software, Statistical Analysis, General Statistics, Statistical Tests, Statistical Visualization, Probability & Statistics, Data Warehousing, Probability Distribution, Business Analysis, Data Visualization Software, Data Mining, Data Science, Interactive Data Visualization, NoSQL, R Programming, Business Intelligence, Forecasting, PostgreSQL, Tableau Software']",Beginner , Professional Certificate , 3 - 6 Months
AI in Healthcare,4.7,"[' Machine Learning, Leadership and Management, Data Analysis, Critical Thinking, Data Mining']",Beginner , Specialization , 3 - 6 Months
Meta Social Media Marketing,4.8,"[' Marketing, Digital Marketing, Social Media, Advertising, Communication, Media Strategy & Planning, Marketing Management, Customer Analysis, Brand Management, Business Analysis, Marketing Design, Sales, Strategy and Operations, Data Analysis, General Statistics, Market Analysis, Probability & Statistics, Leadership and Management, Research and Design, Planning, Entrepreneurship']",Beginner , Professional Certificate , 3 - 6 Months
IBM AI Product Manager,4.7,"[' Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Adaptability, Communication, Data Science, Leadership Development, Leadership and Management, Product Development, Product Lifecycle, Product Management']",Beginner , Professional Certificate , 3 - 6 Months
AI For Business,4.7,"[' Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Data Analysis, Algorithms, Human Learning, Leadership and Management, Business Analysis, Decision Making, Human Resources, People Management, People Analysis, Artificial Neural Networks, Deep Learning, Business Transformation, Customer Analysis, Finance, Financial Accounting, Marketing, Probability & Statistics, Regulations and Compliance, Statistical Machine Learning, Strategy, User Experience, Big Data']",Beginner , Specialization , 3 - 6 Months
Foundations of Digital Marketing and E-commerce,4.8,"[' Digital Marketing, Marketing, E-Commerce, Strategy, Data Analysis, Social Media']",Beginner , Course , 1 - 4 Weeks
Mathematics for Machine Learning and Data Science,4.6,"[' Machine Learning, Calculus, Differential Equations, Mathematics, Machine Learning Algorithms, Regression, Algebra, Algorithms, Artificial Neural Networks, General Statistics, Linear Algebra, Probability & Statistics, Statistical Analysis']",Beginner , Specialization , 1 - 3 Months
Introduction to Finance and Accounting,4.6,"[' Accounting, Finance, Financial Accounting, General Accounting, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Accounts Payable and Receivable, Cost Accounting, Account Management, Cash Management, Decision Making, Investment Management, Taxes, Budget Management, Estimation, Management Accounting, Problem Solving, Business Analysis, Mathematical Theory & Analysis, Mathematics, Data Analysis, Entrepreneurship, Strategy and Operations']",Beginner , Specialization , 3 - 6 Months
Finance & Quantitative Modeling for Analysts,4.5,"[' Finance, Business Analysis, Data Analysis, Financial Analysis, Accounting, Forecasting, Financial Management, General Accounting, General Statistics, Statistical Analysis, Financial Accounting, Mathematical Theory & Analysis, Accounts Payable and Receivable, Probability & Statistics, Basic Descriptive Statistics, Data Model, Decision Making, Mathematics, Regression, Management Accounting, Statistical Tests, Strategy and Operations, Budget Management, Microsoft Excel, Spreadsheet Software, Leadership and Management, Entrepreneurship, Linear Algebra, Computer Programming']",Beginner , Specialization , 3 - 6 Months
IBM and ISC2 Cybersecurity Specialist,4.7,"[' Computer Security Incident Management, Leadership and Management, Risk Management, Cloud Computing, System Security, Computer Networking, Cloud Storage, Operating Systems, Network Security, Cloud Platforms, Network Architecture, Networking Hardware, Cloud Applications, Cloud Infrastructure, Computer Programming, Cyberattacks, Databases, DevOps, Security Engineering, Cryptography, IBM Cloud, Operations Management, Software Engineering']",Beginner , Professional Certificate , 3 - 6 Months
IBM Full-Stack JavaScript Developer,4.5,"[' Computer Programming, Software Engineering, Software Engineering Tools, Application Development, Communication, Programming Principles, Software Architecture, Agile Software Development, Web Development, Javascript, Cloud Applications, Docker (Software), Front-End Web Development, IBM Cloud, Kubernetes, Leadership and Management, Product Management, User Experience Design, Collaboration, DevOps, Cloud Computing, Computer Science, Continuous Delivery, Continuous Integration, Mergers & Acquisitions, NoSQL, Python Programming, React (web framework)']",Beginner , Professional Certificate , 3 - 6 Months
Generative AI for Everyone,4.8,[' Strategy'],Beginner , Course , 1 - 4 Weeks
Technical Support Fundamentals,4.8,"[' Communication, Computer Architecture, Computer Networking, Customer Support, Networking Hardware']",Beginner , Course , 1 - 3 Months
Intuit Academy Bookkeeping,4.6,"[' Accounting, General Accounting, Financial Accounting, Business Analysis, Data Analysis, Financial Analysis, Cash Management, Finance, Financial Management, Accounts Payable and Receivable, Cost Accounting, Inventory Management, Accounting Software, Sales, Taxes']",Beginner , Professional Certificate , 3 - 6 Months
IBM Back-end JavaScript Developer,4.6,"[' Computer Programming, Software Engineering, Software Engineering Tools, Application Development, Communication, Programming Principles, Software Architecture, Agile Software Development, Web Development, Javascript, Cloud Applications, Docker (Software), IBM Cloud, Kubernetes, Leadership and Management, Product Management, User Experience Design, Collaboration, DevOps, Cloud Computing, Computer Science, Continuous Delivery, Continuous Integration, Mergers & Acquisitions, NoSQL, Python Programming']",Beginner , Professional Certificate , 3 - 6 Months
Python for Everybody,4.8,"[' Computer Programming, Python Programming, Computer Programming Tools, Programming Principles, Data Structures, Computational Thinking, Computational Logic, Software Engineering, Algorithms, Critical Thinking, Problem Solving, Data Management, Databases, Theoretical Computer Science, Data Analysis Software, Database Administration, Data Model, Data Visualization, Database Design, Database Theory, Web Development, Web Development Tools, Computer Networking, SQL, HTML and CSS']",Beginner , Specialization , 3 - 6 Months
IBM Front-End Developer,4.6,"[' Cloud Applications, Software Engineering, Computer Programming, Cloud Computing, IBM Cloud, Application Development, Programming Principles, Software Engineering Tools, Web Development, Cloud API, Cloud Infrastructure, Cloud Management, Cloud Platforms, Software Architecture, Agile Software Development, Communication, DevOps, Continuous Integration, Software As A Service, Cloud-Based Integration, Continuous Delivery, Product Management, User Experience Design, Front-End Web Development, Leadership and Management, NoSQL, Collaboration, Javascript, Mergers & Acquisitions, Python Programming, React (web framework), Search Engine Optimization, Strategy, User Experience']",Beginner , Professional Certificate , 3 - 6 Months
Introduction to Generative AI Learning Path,4.6,"[' Artificial Neural Networks, Deep Learning, Machine Learning']",Intermediate , Specialization , 1 - 3 Months
Business and Financial Modeling,4.5,"[' Business Analysis, Data Analysis, Finance, General Statistics, Probability & Statistics, Financial Analysis, Statistical Analysis, Forecasting, Mathematics, Spreadsheet Software, Statistical Tests, Basic Descriptive Statistics, Data Model, Mathematical Theory & Analysis, Risk Management, Probability Distribution, Decision Making, Investment Management, Accounting, Leadership and Management, Regression, Data Analysis Software, Financial Accounting, Microsoft Excel, Linear Algebra, Performance Management, Cash Management, General Accounting, Computer Programming']",Beginner , Specialization , 3 - 6 Months
Meta React Native,4.7,"[' React (web framework), Javascript, Mobile Development, Mobile Development Tools, Web Development, HTML and CSS, Front-End Web Development, Web Development Tools, Application Development, Computer Programming, Programming Principles, User Experience, Web Design, Cross Platform Development, Software Engineering Tools, SQL, Software Engineering, Agile Software Development, Collaboration, Data Management, Human Computer Interaction, Interactive Design, Linux, Product Design, Product Lifecycle, Project Management']",Beginner , Specialization , 3 - 6 Months
AI Foundations for Everyone,4.7,"[' Human Learning, Machine Learning, Artificial Neural Networks, Deep Learning, Machine Learning Algorithms, Human Computer Interaction, Natural Language Processing, Algorithms, Applied Machine Learning, Cloud Computing, Computer Vision, IBM Cloud, Machine Learning Software, Adaptability, Interactive Data Visualization, Computer Programming, Data Science']",Beginner , Specialization , 3 - 6 Months
IBM IT Project Manager,4.8,"[' Software Engineering, Agile Software Development, Computer Programming, Software Engineering Tools, Application Development, Programming Principles, Software Architecture, Communication, Cloud Applications, Product Management, Scrum (Software Development), User Experience Design, Leadership and Management, Project Management, Business Analysis, Cloud Computing, Databases, IBM Cloud, Information Technology, Operating Systems, Python Programming, Risk Management']",Beginner , Professional Certificate , 3 - 6 Months
IBM IT Scrum Master,4.8,"[' DevOps, Software Engineering, Computer Programming, Agile Software Development, Programming Principles, Software Engineering Tools, Application Development, Software Architecture, Communication, Continuous Delivery, Cloud Applications, Continuous Integration, Product Management, Scrum (Software Development), User Experience Design, Leadership and Management, Project Management, Cloud Computing, Databases, IBM Cloud, Information Technology, Operating Systems, Python Programming']",Beginner , Professional Certificate , 3 - 6 Months
Cloud Application Development Foundations,4.6,"[' Cloud Computing, Cloud Applications, IBM Cloud, Javascript, Cloud Infrastructure, Cloud Platforms, DevOps, Cloud Management, Computer Programming, Web Development, Cloud API, Continuous Integration, Cloud Storage, Software As A Service, Cloud-Based Integration, Continuous Delivery, NoSQL, Computer Science, Front-End Web Development, React (web framework)']",Beginner , Specialization , 3 - 6 Months
Meta Back-End Developer,4.7,"[' Python Programming, Databases, HTML and CSS, SQL, Database Design, Programming Principles, Algorithms, Computer Science, Big Data, React (web framework), Software Testing, Web Development, Application Development, Back-End Web Development, Cloud API, Cloud Computing, Cloud Infrastructure, Collaboration, Communication, Computer Programming, Data Model, Data Structures, Data Warehousing, Database Administration, Database Application, Database Theory, DevOps, Django (Web Framework), Front-End Web Development, Full-Stack Web Development, Javascript, Kubernetes, Linux, Problem Solving, Semantic Web, Software Engineering, Software Engineering Tools, Statistical Programming, Tensorflow, Web Design, Web Development Tools']",Beginner , Professional Certificate , 3 - 6 Months
Project Initiation: Starting a Successful Project,4.8,"[' Project Management, Strategy and Operations, Collaboration, Communication, Leadership and Management, Planning']",Beginner , Course , 1 - 4 Weeks
IBM IT Support,4.7,"[' Cloud Computing, Computer Networking, Cloud Storage, Customer Success, Operating Systems, Leadership and Management, System Security, Strategy and Operations, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Communication, Computer Programming, Cyberattacks, Customer Support, Databases, DevOps, Networking Hardware, Cryptography, IBM Cloud, Information Technology, Network Architecture, Network Security, Security Engineering, Software Engineering']",Beginner , Professional Certificate , 3 - 6 Months
Ask Questions to Make Data-Driven Decisions,4.7,"[' Data Analysis, Business Communication, Spreadsheet Software, Big Data, Communication, Leadership and Management, Problem Solving, Small Data']",Beginner , Course , 1 - 4 Weeks
Meta Android Developer,4.6,"[' Mobile Development, Computer Programming, React (web framework), Mobile Development Tools, Application Development, Software Engineering, Android Development, Other Programming Languages, Web Development, User Experience, Algorithms, Computer Science, Front-End Web Development, Javascript, Programming Principles, Cloud API, Collaboration, Communication, Data Management, Data Structures, Databases, Human Computer Interaction, Interactive Design, Linux, Problem Solving, Product Design, SQL, Software Architecture, Software Engineering Tools, Swift Programming, Web Design, iOS Development']",Beginner , Professional Certificate , 3 - 6 Months
"DevOps, Cloud, and Agile Foundations",4.7,"[' DevOps, Cloud Computing, Software Engineering, Agile Software Development, Continuous Delivery, Continuous Integration, Scrum (Software Development), Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, IBM Cloud, Leadership and Management']",Beginner , Specialization , 3 - 6 Months
Foundations of User Experience (UX) Design,4.8,"[' User Experience, User Experience Design, User Research, Product Development']",Beginner , Course , 1 - 4 Weeks
"BI Foundations with SQL, ETL and Data Warehousing",4.6,"[' Data Management, Data Warehousing, Extract, Transform, Load, Apache, Database Administration, Big Data, Computer Programming, Distributed Computing Architecture, System Programming, Cloud Computing, Databases, Linux, Operational Analysis, Python Programming, Warehouse Management, Business Intelligence, SQL']",Beginner , Specialization , 3 - 6 Months
Meta iOS Developer,4.6,"[' Mobile Development, Swift Programming, iOS Development, Computer Programming, Mobile Development Tools, React (web framework), Application Development, Software Engineering, Data Structures, User Experience, User Experience Design, Web Development, Computer Programming Tools, Software Engineering Tools, Front-End Web Development, Algorithms, Computer Science, Interactive Design, Javascript, Collaboration, Communication, Data Management, Django (Web Framework), Human Computer Interaction, Linux, Problem Solving, Product Design, Software Architecture, Web Design']",Beginner , Professional Certificate , 3 - 6 Months
Play It Safe: Manage Security Risks,4.8,"[' Audit, Computer Security Incident Management, Leadership and Management, Risk Management']",Beginner , Course , 1 - 4 Weeks
Natural Language Processing,4.6,"[' Machine Learning, Natural Language Processing, Python Programming, Statistical Programming, Artificial Neural Networks, Probability & Statistics, Statistical Machine Learning, Deep Learning, Machine Learning Algorithms, Computer Programming, General Statistics, Human Learning, Mathematics']",Intermediate , Specialization , 3 - 6 Months
Information Technology (IT) and Cloud Fundamentals,4.7,"[' Cloud Computing, Computer Networking, Cloud Storage, Operating Systems, System Security, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cyberattacks, Databases, DevOps, Networking Hardware, Computer Programming, Cryptography, IBM Cloud, Network Architecture, Network Security, Security Engineering, Software Engineering']",Beginner , Specialization , 3 - 6 Months
DeepLearning.AI TensorFlow Developer,4.7,"[' Machine Learning, Tensorflow, Deep Learning, Machine Learning Algorithms, Artificial Neural Networks, Applied Machine Learning, Human Learning, Computer Programming, Python Programming, Machine Learning Software, Natural Language Processing, Computer Vision, Forecasting, Data Visualization, Network Model, Statistical Analysis']",Intermediate , Professional Certificate , 3 - 6 Months
Google Business Intelligence,4.7,"[' Business Intelligence, Data Analysis, Data Management, Data Model, Data Visualization, Extract, Transform, Load, Strategy, Tableau Software']",Advanced , Professional Certificate , 3 - 6 Months
Become a CBRS Certified Professional Installer by Google,4.6,"[' Communication, SAS (Software), Regulations and Compliance, Systems Design, System Security, Network Architecture, Process Analysis, Training, Decision Making, Operating Systems, Leadership and Management']",Mixed , Course , 1 - 3 Months
HRCI Human Resource Associate,4.8,"[' Benefits, Compensation, Employee Relations, Leadership and Management, Mergers & Acquisitions, Performance Management, Recruitment, Risk Management, Training']",Beginner , Professional Certificate , 3 - 6 Months
Financial Markets,4.8,"[' Finance, Investment Management, Risk Management, Behavioral Economics, Critical Thinking, Decision Making, Financial Analysis, Innovation, Regulations and Compliance, Underwriting, Leadership and Management']",Beginner , Course , 1 - 3 Months
Generative AI Automation,4.8,"[' Creativity, Data Analysis, Problem Solving, Risk Management, Writing']",Beginner , Specialization , 3 - 6 Months
Generative AI Fundamentals,4.6,"[' Artificial Neural Networks, Business Transformation, Machine Learning']",Beginner , Specialization , 3 - 6 Months
Prompt Engineering,4.8,"[' Creativity, Data Analysis, Problem Solving, Risk Management, Writing']",Beginner , Specialization , 1 - 3 Months
